chrom	start	end	AA_hotspots
chr1	11030990	11032096	1
chr1	11265470	11266475	1
chr1	11289067	11290000	1
chr1	11337281	11338301	1
chr1	11389462	11390478	1
chr1	11397449	11398726	1
chr1	11489921	11491189	1
chr1	11673036	11673836	1
chr1	11710329	11712273	1
chr1	11752357	11753849	1
chr1	11822388	11823746	1
chr1	11907840	11909241	1
chr1	12057383	12058986	1
chr1	12156705	12158437	1
chr1	12176756	12177617	1
chr1	12197854	12199609	1
chr1	12270636	12271860	1
chr1	12401122	12402602	1
chr1	12474809	12476486	1
chr1	12510687	12512215	1
chr1	12601747	12603867	1
chr1	12687089	12688549	1
chr1	12768915	12770421	1
chr1	12778598	12779851	1
chr1	12830099	12831189	1
chr1	12984647	12985990	1
chr1	12988399	12989969	1
chr1	13377305	13378733	1
chr1	13381079	13382339	1
chr1	13818824	13819840	1
chr1	13931071	13932659	1
chr1	14128671	14130183	1
chr1	14170437	14171666	1
chr1	14393574	14394724	1
chr1	14440308	14441936	1
chr1	14443434	14444941	1
chr1	14478058	14479061	1
chr1	14507017	14508064	1
chr1	14577312	14578239	1
chr1	14588591	14589467	1
chr1	14625618	14627190	1
chr1	14705531	14707163	1
chr1	14720022	14721303	1
chr1	14732789	14734410	1
chr1	14792148	14794293	1
chr1	14877614	14879028	1
chr1	14891006	14892349	1
chr1	14997071	14998290	1
chr1	15099215	15101254	1
chr1	15152960	15154852	1
chr1	15181904	15183641	1
chr1	15258400	15259296	1
chr1	15311023	15312241	1
chr1	15321821	15323129	1
chr1	15372030	15373920	1
chr1	15425063	15427522	1
chr1	15505695	15506753	1
chr1	15570458	15572101	1
chr1	15604205	15605068	1
chr1	15619280	15620921	1
chr1	15648762	15650384	1
chr1	15672304	15674026	1
chr1	15685741	15687713	1
chr1	15698337	15699179	1
chr1	15745158	15746797	1
chr1	15789404	15790647	1
chr1	15972101	15973348	1
chr1	16050732	16052500	1
chr1	16082115	16082976	1
chr1	16125102	16126469	1
chr1	16442249	16443394	1
chr1	16567463	16568280	1
chr1	16982103	16983593	1
chr1	17076736	17078264	1
chr1	17100088	17102088	1
chr1	17348665	17350580	1
chr1	17540079	17541487	1
chr1	17546029	17546979	1
chr1	17677510	17679113	1
chr1	17918634	17920602	1
chr1	17973758	17974903	1
chr1	18182660	18183975	1
chr1	18263620	18265214	1
chr1	18322856	18323932	1
chr1	18426824	18428215	1
chr1	18486783	18488493	1
chr1	18512246	18513454	1
chr1	18524666	18526028	1
chr1	18566617	18567683	1
chr1	18569862	18571283	1
chr1	18575594	18576821	1
chr1	18579326	18580332	1
chr1	18645722	18646797	1
chr1	18662313	18664333	1
chr1	18703726	18704767	1
chr1	18766523	18767664	1
chr1	18834586	18835482	1
chr1	18858976	18859991	1
chr1	18871619	18872633	1
chr1	18904268	18905071	1
chr1	18993093	18993906	1
chr1	19031719	19032723	1
chr1	19050715	19052796	1
chr1	19178080	19180777	1
chr1	19195288	19196773	1
chr1	19203295	19204648	1
chr1	19213467	19214566	1
chr1	19239433	19240971	1
chr1	19386099	19387318	1
chr1	19406196	19408372	1
chr1	19554929	19555761	1
chr1	19679329	19682215	1
chr1	19789302	19790166	1
chr1	19797728	19798688	1
chr1	19808310	19809592	1
chr1	19818229	19819095	1
chr1	19973871	19975630	1
chr1	20026252	20027269	1
chr1	20035338	20036156	1
chr1	20048698	20049981	1
chr1	20060174	20062146	1
chr1	20109528	20111194	1
chr1	20139283	20141139	1
chr1	20147269	20148471	1
chr1	20160627	20161481	1
chr1	20306009	20307165	1
chr1	20436495	20437531	1
chr1	20450744	20451638	1
chr1	20468067	20469392	1
chr1	20476018	20477010	1
chr1	20555566	20556795	1
chr1	20762001	20763357	1
chr1	20970498	20972275	1
chr1	21009393	21011296	1
chr1	21028639	21030239	1
chr1	21377507	21378320	1
chr1	21622961	21624428	1
chr1	21658064	21659509	1
chr1	21755542	21756786	1
chr1	21927853	21928749	1
chr1	21936481	21937498	1
chr1	21977950	21979721	1
chr1	22005825	22007854	1
chr1	22182056	22182856	1
chr1	22345846	22346677	1
chr1	22437003	22438085	1
chr1	22621747	22622987	1
chr1	22636343	22637428	1
chr1	22736907	22738088	1
chr1	22768671	22769491	1
chr1	22865359	22866807	1
chr1	22872774	22873654	1
chr1	23086277	23087885	1
chr1	23128462	23129824	1
chr1	23183562	23185403	1
chr1	23231843	23233022	1
chr1	23250383	23251675	1
chr1	23406343	23407777	1
chr1	23411854	23412847	1
chr1	23427725	23428536	1
chr1	23437877	23438764	1
chr1	23470157	23471073	1
chr1	23600138	23601104	1
chr1	23642125	23643368	1
chr1	23716150	23717008	1
chr1	23734362	23735534	1
chr1	23765128	23765992	1
chr1	23885614	23887263	1
chr1	23908777	23910139	1
chr1	23940091	23941081	1
chr1	24388683	24389604	1
chr1	24416271	24418308	1
chr1	24434819	24435666	1
chr1	24525955	24527468	1
chr1	24536573	24537569	1
chr1	24661852	24663571	1
chr1	24798077	24799012	1
chr1	25155730	25156531	1
chr1	25185033	25186568	1
chr1	25263566	25265703	1
chr1	25305761	25307492	1
chr1	25424124	25425728	1
chr1	25512708	25513536	1
chr1	25526350	25527178	1
chr1	25831576	25832503	1
chr1	25883818	25885381	1
chr1	25908049	25909654	1
chr1	26002979	26004713	1
chr1	26110418	26112794	1
chr1	26116871	26117857	1
chr1	26289386	26291003	1
chr1	26480618	26481649	1
chr1	26597392	26598911	1
chr1	26700715	26701950	1
chr1	26715663	26716695	1
chr1	26746764	26747612	1
chr1	26903362	26904608	1
chr1	26987688	26988884	1
chr1	27214941	27216104	1
chr1	27330266	27331281	1
chr1	27630504	27632424	1
chr1	27662183	27663299	1
chr1	27699326	27700560	1
chr1	27766164	27767859	1
chr1	27987522	27988770	1
chr1	28112051	28113180	1
chr1	28292354	28293280	1
chr1	28426337	28427413	1
chr1	28501671	28502652	1
chr1	28754955	28756006	1
chr1	28917987	28918868	1
chr1	29180289	29182538	1
chr1	29439447	29440507	1
chr1	29607333	29608146	1
chr1	29630491	29632411	1
chr1	29646188	29647484	1
chr1	29683268	29685464	1
chr1	29717753	29719149	1
chr1	29739685	29740716	1
chr1	29793909	29794927	1
chr1	29871891	29873176	1
chr1	30161369	30163192	1
chr1	30177784	30178839	1
chr1	30244643	30246158	1
chr1	30402854	30404141	1
chr1	30578251	30579762	1
chr1	30616813	30618006	1
chr1	30682094	30683763	1
chr1	30744699	30745678	1
chr1	30792789	30794414	1
chr1	30890962	30892357	1
chr1	30987578	30989142	1
chr1	30997974	30999134	1
chr1	31062389	31063216	1
chr1	31221923	31223469	1
chr1	31256041	31257004	1
chr1	31258998	31260493	1
chr1	31310848	31311953	1
chr1	31316577	31318159	1
chr1	31363990	31365562	1
chr1	31423554	31425083	1
chr1	31503668	31504748	1
chr1	31904286	31906241	1
chr1	31944696	31945670	1
chr1	32048156	32049283	1
chr1	32144918	32146038	1
chr1	32265829	32266782	1
chr1	32509086	32509957	1
chr1	32660935	32662024	1
chr1	33065367	33066820	1
chr1	33086673	33087506	1
chr1	33216680	33217559	1
chr1	33318961	33319974	1
chr1	33348144	33349395	1
chr1	33360925	33362190	1
chr1	33450846	33452020	1
chr1	33483773	33484981	1
chr1	33597010	33598390	1
chr1	33719037	33720413	1
chr1	33759879	33761288	1
chr1	33801235	33802190	1
chr1	33920980	33922176	1
chr1	33946092	33947686	1
chr1	34021689	34023100	1
chr1	34043498	34045150	1
chr1	34058267	34060059	1
chr1	34156340	34157468	1
chr1	34184433	34185245	1
chr1	34207558	34208717	1
chr1	34220786	34221900	1
chr1	34246083	34247352	1
chr1	34254031	34255138	1
chr1	34373446	34375030	1
chr1	34408183	34409326	1
chr1	34427738	34428577	1
chr1	34537687	34540089	1
chr1	34568508	34569799	1
chr1	34604055	34604874	1
chr1	34640270	34641435	1
chr1	34677435	34678763	1
chr1	34703971	34704814	1
chr1	34726546	34728081	1
chr1	34798629	34799963	1
chr1	34886453	34887690	1
chr1	34939171	34940811	1
chr1	34941230	34942762	1
chr1	34945124	34946286	1
chr1	35041036	35042568	1
chr1	35198268	35199076	1
chr1	35216190	35217766	1
chr1	35227141	35228711	1
chr1	35267488	35268995	1
chr1	35307923	35309827	1
chr1	35316807	35318188	1
chr1	35320338	35321251	1
chr1	35367416	35369265	1
chr1	35379730	35381191	1
chr1	35566426	35568153	1
chr1	35668721	35669679	1
chr1	35760386	35761906	1
chr1	35877187	35878460	1
chr1	36060539	36061561	1
chr1	36068665	36070022	1
chr1	36484039	36484908	1
chr1	36563797	36565763	1
chr1	36585020	36586250	1
chr1	36754762	36755639	1
chr1	36806391	36807580	1
chr1	36857276	36858204	1
chr1	36990618	36991765	1
chr1	37019377	37021866	1
chr1	37047115	37048014	1
chr1	37066828	37067706	1
chr1	37081078	37081948	1
chr1	37134959	37136072	1
chr1	37319177	37321886	1
chr1	37325691	37326973	1
chr1	37393925	37394848	1
chr1	37403400	37404915	1
chr1	37419186	37420389	1
chr1	37426818	37427879	1
chr1	37448680	37449986	1
chr1	37521024	37522178	1
chr1	37538520	37539681	1
chr1	37548631	37550357	1
chr1	37608375	37609809	1
chr1	37662606	37663698	1
chr1	37775943	37777296	1
chr1	37814855	37816022	1
chr1	37950070	37951940	1
chr1	38131542	38132513	1
chr1	38143957	38145403	1
chr1	38197290	38198707	1
chr1	38466336	38467579	1
chr1	38558481	38560442	1
chr1	38602769	38604297	1
chr1	38730689	38732590	1
chr1	38913002	38914169	1
chr1	38950786	38952263	1
chr1	39039773	39041106	1
chr1	39050132	39051316	1
chr1	39145422	39147385	1
chr1	39333801	39334780	1
chr1	39534408	39535322	1
chr1	39549465	39551473	1
chr1	39585946	39587735	1
chr1	39777073	39778489	1
chr1	39921412	39922517	1
chr1	39940927	39942551	1
chr1	39974089	39975414	1
chr1	40163539	40164982	1
chr1	40166703	40167585	1
chr1	40199495	40200750	1
chr1	40256756	40257788	1
chr1	40442206	40443698	1
chr1	40535532	40536715	1
chr1	40758127	40759481	1
chr1	40763395	40765007	1
chr1	40869114	40870169	1
chr1	40886277	40887635	1
chr1	40937340	40938502	1
chr1	41132477	41133595	1
chr1	41250442	41251359	1
chr1	41277102	41278050	1
chr1	41287290	41288517	1
chr1	41318656	41320028	1
chr1	41420035	41421629	1
chr1	41453499	41455144	1
chr1	41485634	41486732	1
chr1	41493387	41495496	1
chr1	41573431	41574325	1
chr1	41724901	41725815	1
chr1	41747598	41749320	1
chr1	41830058	41831643	1
chr1	41851954	41853028	1
chr1	41974634	41976541	1
chr1	42008955	42010838	1
chr1	42271301	42273247	1
chr1	42353232	42355003	1
chr1	42405918	42407176	1
chr1	42506849	42508096	1
chr1	42630534	42631624	1
chr1	42651723	42652831	1
chr1	42881080	42882753	1
chr1	43107249	43108440	1
chr1	43128231	43129166	1
chr1	43214072	43215294	1
chr1	43300770	43301848	1
chr1	43317696	43319133	1
chr1	43365657	43367263	1
chr1	43398264	43399516	1
chr1	43460574	43461382	1
chr1	43488333	43489235	1
chr1	43523050	43524861	1
chr1	43692419	43694236	1
chr1	43699888	43700827	1
chr1	43749464	43750578	1
chr1	43757830	43759751	1
chr1	43898013	43899874	1
chr1	43908467	43910231	1
chr1	44034241	44035420	1
chr1	44071185	44072572	1
chr1	44146748	44148122	1
chr1	44163003	44164053	1
chr1	44248455	44249533	1
chr1	44270880	44271759	1
chr1	44450727	44452164	1
chr1	44455696	44456610	1
chr1	44486217	44487508	1
chr1	44554905	44555962	1
chr1	44855665	44857043	1
chr1	44877920	44879029	1
chr1	44935416	44936468	1
chr1	45062816	45063654	1
chr1	45110148	45111457	1
chr1	45174084	45175827	1
chr1	45765870	45767477	1
chr1	46073261	46075086	1
chr1	46093876	46095719	1
chr1	46494357	46496779	1
chr1	46502451	46503534	1
chr1	46648725	46650135	1
chr1	46864085	46865342	1
chr1	46897628	46899605	1
chr1	46981905	46982914	1
chr1	47021983	47022957	1
chr1	47084168	47085420	1
chr1	47091763	47094069	1
chr1	47097948	47099301	1
chr1	47210479	47211820	1
chr1	47255288	47256620	1
chr1	47645331	47646532	1
chr1	47868500	47869386	1
chr1	48096696	48098396	1
chr1	48103933	48105285	1
chr1	48194469	48195613	1
chr1	48213548	48215175	1
chr1	48221941	48223514	1
chr1	48246864	48247842	1
chr1	48274001	48274827	1
chr1	48482257	48483703	1
chr1	48520441	48522198	1
chr1	48555166	48556557	1
chr1	48977669	48978836	1
chr1	49001408	49002635	1
chr1	49068512	49069374	1
chr1	49084021	49085378	1
chr1	49163510	49164361	1
chr1	49183873	49184975	1
chr1	49214951	49217213	1
chr1	49507809	49508722	1
chr1	49736528	49737929	1
chr1	49836493	49837641	1
chr1	50591779	50593498	1
chr1	50644135	50645847	1
chr1	50717912	50718885	1
chr1	50783240	50785111	1
chr1	50823990	50825597	1
chr1	50885765	50886637	1
chr1	50908426	50909331	1
chr1	50973524	50974882	1
chr1	51126735	51128119	1
chr1	51778846	51780370	1
chr1	51800014	51801191	1
chr1	52062514	52063391	1
chr1	52126732	52128049	1
chr1	52247960	52249670	1
chr1	52255300	52257200	1
chr1	52261083	52262124	1
chr1	52263821	52265342	1
chr1	52423393	52424720	1
chr1	52670802	52671734	1
chr1	52728833	52729662	1
chr1	52807021	52807961	1
chr1	53114018	53116876	1
chr1	53342085	53343374	1
chr1	53446807	53448511	1
chr1	53580378	53581732	1
chr1	53632870	53635212	1
chr1	53654363	53655300	1
chr1	53707441	53708680	1
chr1	53752370	53754095	1
chr1	53776390	53778179	1
chr1	53781360	53782774	1
chr1	53972645	53974274	1
chr1	54016366	54018217	1
chr1	54035431	54036381	1
chr1	54124145	54125272	1
chr1	54197507	54198653	1
chr1	54223231	54224799	1
chr1	54309888	54311313	1
chr1	54369600	54371197	1
chr1	54542326	54543912	1
chr1	54703288	54705057	1
chr1	54724801	54725601	1
chr1	54742950	54744740	1
chr1	54753651	54755708	1
chr1	54757607	54758878	1
chr1	54769864	54771795	1
chr1	54775675	54776475	1
chr1	54834517	54835863	1
chr1	54870017	54871016	1
chr1	55014321	55015595	1
chr1	55080656	55081814	1
chr1	55146238	55147510	1
chr1	55191179	55192216	1
chr1	55242298	55243552	1
chr1	55252744	55254147	1
chr1	55384807	55385759	1
chr1	55404840	55406251	1
chr1	55480325	55481370	1
chr1	55496147	55497606	1
chr1	55516366	55517502	1
chr1	55517909	55519091	1
chr1	55647125	55648586	1
chr1	55669093	55670275	1
chr1	55674594	55675753	1
chr1	55739928	55741070	1
chr1	55821218	55822228	1
chr1	55999919	56000768	1
chr1	56188407	56189928	1
chr1	56191527	56192725	1
chr1	56245641	56247120	1
chr1	56412310	56413917	1
chr1	56770255	56771336	1
chr1	56800053	56802251	1
chr1	56855669	56857704	1
chr1	56897850	56899937	1
chr1	57020564	57022060	1
chr1	57067036	57068250	1
chr1	57178049	57180714	1
chr1	57197650	57199374	1
chr1	57257007	57258347	1
chr1	57273978	57275669	1
chr1	57276768	57278931	1
chr1	57307200	57308793	1
chr1	57372535	57373869	1
chr1	57408978	57410597	1
chr1	57428704	57429983	1
chr1	57436112	57437014	1
chr1	57522441	57524432	1
chr1	57586656	57588246	1
chr1	57612308	57613367	1
chr1	57668778	57669849	1
chr1	57777995	57779464	1
chr1	57781975	57782972	1
chr1	57987536	57988899	1
chr1	58162172	58163814	1
chr1	58197102	58198623	1
chr1	58243908	58245033	1
chr1	58380459	58382124	1
chr1	58384042	58384978	1
chr1	58453263	58454296	1
chr1	58488949	58490271	1
chr1	58535521	58537086	1
chr1	58685515	58686353	1
chr1	58766442	58767632	1
chr1	58800577	58802056	1
chr1	58810162	58811579	1
chr1	58864249	58865146	1
chr1	58872965	58874048	1
chr1	58904017	58905521	1
chr1	58912734	58914351	1
chr1	58936788	58937836	1
chr1	59196130	59197028	1
chr1	59229318	59230391	1
chr1	59314186	59316521	1
chr1	59344988	59347396	1
chr1	59415037	59416766	1
chr1	59487084	59488944	1
chr1	59575154	59576640	1
chr1	59694055	59694906	1
chr1	59889760	59891559	1
chr1	59985956	59987473	1
chr1	60181920	60183043	1
chr1	60186102	60187521	1
chr1	60197670	60199088	1
chr1	60231404	60233550	1
chr1	60460074	60461363	1
chr1	60593682	60595182	1
chr1	60694542	60695820	1
chr1	60774265	60775140	1
chr1	60868416	60870099	1
chr1	60888912	60890096	1
chr1	61125848	61127196	1
chr1	61135753	61136972	1
chr1	61231815	61232623	1
chr1	61258500	61260155	1
chr1	61319965	61321132	1
chr1	61357940	61359795	1
chr1	61375916	61377087	1
chr1	61409047	61410176	1
chr1	61642197	61643064	1
chr1	61667925	61670087	1
chr1	61750707	61751793	1
chr1	61754518	61755586	1
chr1	61833213	61834544	1
chr1	61850685	61852005	1
chr1	61871137	61873920	1
chr1	61954024	61955400	1
chr1	61993492	61994357	1
chr1	62025969	62027405	1
chr1	62245533	62246905	1
chr1	62283890	62285215	1
chr1	62313632	62314700	1
chr1	62334334	62335345	1
chr1	62364641	62365996	1
chr1	62379457	62381253	1
chr1	62803940	62805411	1
chr1	62828211	62829812	1
chr1	62898824	62899940	1
chr1	62959634	62961237	1
chr1	63454090	63455646	1
chr1	63460382	63461829	1
chr1	63542817	63543947	1
chr1	63581706	63582542	1
chr1	63628363	63630012	1
chr1	63795206	63796736	1
chr1	63820861	63821670	1
chr1	63840133	63841164	1
chr1	63904756	63906770	1
chr1	64094382	64096448	1
chr1	64103709	64105581	1
chr1	64168832	64169673	1
chr1	64271535	64272739	1
chr1	64342215	64344256	1
chr1	64518368	64519608	1
chr1	64538113	64539696	1
chr1	64555165	64556989	1
chr1	64902464	64903657	1
chr1	64932671	64934279	1
chr1	65013445	65015182	1
chr1	65031608	65032473	1
chr1	65109150	65109950	1
chr1	65150871	65152511	1
chr1	65294925	65296570	1
chr1	65304222	65306121	1
chr1	65347196	65348008	1
chr1	65378617	65380629	1
chr1	65387243	65388421	1
chr1	65527649	65529414	1
chr1	65597661	65598461	1
chr1	65697101	65699020	1
chr1	65829687	65831158	1
chr1	65874294	65875645	1
chr1	65876209	65877358	1
chr1	65890787	65892973	1
chr1	66053658	66055425	1
chr1	66197027	66197841	1
chr1	66216443	66217762	1
chr1	66278624	66279990	1
chr1	66333684	66334811	1
chr1	66357800	66358824	1
chr1	66387805	66389256	1
chr1	66553234	66555113	1
chr1	66643734	66645112	1
chr1	66772852	66774728	1
chr1	66797792	66798601	1
chr1	66939077	66940276	1
chr1	66981578	66982982	1
chr1	67254926	67257033	1
chr1	67279701	67280801	1
chr1	67297999	67299707	1
chr1	67359933	67361972	1
chr1	67507207	67508547	1
chr1	67515874	67517129	1
chr1	67766681	67768304	1
chr1	67782884	67784456	1
chr1	67935134	67936027	1
chr1	67991974	67993246	1
chr1	68110039	68110872	1
chr1	68226224	68227049	1
chr1	68252248	68253638	1
chr1	68255177	68256883	1
chr1	68456454	68457866	1
chr1	68562750	68563622	1
chr1	68566558	68568529	1
chr1	68572943	68574058	1
chr1	68587391	68588331	1
chr1	68632954	68634688	1
chr1	68664500	68666053	1
chr1	68825788	68827220	1
chr1	69091071	69092361	1
chr1	69135609	69136782	1
chr1	69167267	69168142	1
chr1	69448398	69449976	1
chr1	69633506	69634801	1
chr1	69687032	69688420	1
chr1	69735457	69736432	1
chr1	69790437	69792779	1
chr1	69914304	69915326	1
chr1	69935184	69936391	1
chr1	70038156	70039000	1
chr1	70190176	70191659	1
chr1	70243405	70245254	1
chr1	70277805	70279387	1
chr1	70490716	70492470	1
chr1	70503978	70505881	1
