chrom	start	end	AB2_hotspots
chr1	41830058	41831643	1
chr1	42271301	42273247	1
chr1	43692419	43694236	1
chr1	43757830	43759751	1
chr1	46073261	46075086	1
chr1	46494357	46496779	1
chr1	46648725	46650135	1
chr1	46897628	46899605	1
chr1	48096696	48098396	1
chr1	48221941	48223514	1
chr1	48482257	48483703	1
chr1	49001408	49002635	1
chr1	49214951	49217213	1
chr1	50823990	50825597	1
chr1	52255300	52257200	1
chr1	52263821	52265342	1
chr1	53114018	53116876	1
chr1	53342085	53343374	1
chr1	53752370	53754095	1
chr1	53776390	53778179	1
chr1	53972645	53974274	1
chr1	54703288	54705057	1
chr1	54742950	54744740	1
chr1	54753651	54755708	1
chr1	54834517	54835863	1
chr1	55014321	55015595	1
chr1	56412310	56413917	1
chr1	56897850	56899937	1
chr1	57020564	57022060	1
chr1	57067036	57068250	1
chr1	57178049	57180714	1
chr1	57372535	57373869	1
chr1	57522441	57524432	1
chr1	57586656	57588246	1
chr1	58535521	58537086	1
chr1	59314186	59316521	1
chr1	59344988	59347396	1
chr1	59415037	59416766	1
chr1	59487084	59488944	1
chr1	59575154	59576640	1
chr1	60197670	60199088	1
chr1	60231404	60233550	1
chr1	60868416	60870099	1
chr1	61667925	61670087	1
chr1	61833213	61834544	1
chr1	61954024	61955400	1
chr1	62283890	62285215	1
chr1	63904756	63906770	1
chr1	64094382	64096448	1
chr1	64103709	64105581	1
chr1	65034854	65035974	1
chr1	65304222	65306121	1
chr1	65378617	65380629	1
chr1	65697101	65699020	1
chr1	65890787	65892973	1
chr1	67916629	67917876	1
chr1	68566558	68568529	1
chr1	69790437	69792779	1
chr1	70503978	70505881	1
chr1	70987556	70989855	1
chr1	71154060	71155529	1
chr1	74856818	74858770	1
chr1	75014393	75016188	1
chr1	76475734	76478007	1
chr1	76974396	76976805	1
chr1	77547250	77549282	1
chr1	77694389	77696656	1
chr1	78294805	78296492	1
chr1	79659837	79661547	1
chr1	80100070	80101705	1
chr1	81353985	81356077	1
chr1	81767563	81769613	1
chr1	82218015	82219830	1
chr1	82562925	82564878	1
chr1	82801001	82802289	1
chr1	82836686	82838046	1
chr1	82883376	82885325	1
chr1	83468178	83470028	1
chr1	83838707	83839948	1
chr1	84070158	84071504	1
chr1	84745299	84747703	1
chr1	84843187	84844696	1
chr1	85229728	85231322	1
chr1	85391343	85393821	1
chr1	85556554	85558883	1
chr1	85835583	85837290	1
chr1	85940370	85942019	1
chr1	86010678	86012237	1
chr1	86453737	86455773	1
chr1	86759659	86761290	1
chr1	86948702	86950125	1
chr1	87759849	87761707	1
chr1	88609620	88610559	1
chr1	88863924	88865648	1
chr1	89452161	89454126	1
chr1	89748284	89749944	1
chr1	90065393	90067380	1
chr1	90599727	90602061	1
chr1	91668813	91670853	1
chr1	91885921	91887378	1
chr1	92096475	92098493	1
chr1	92151665	92153399	1
chr1	94020705	94022943	1
chr1	94054698	94056314	1
chr1	94168798	94170958	1
chr1	94479272	94480521	1
chr1	94502381	94503894	1
chr1	94537510	94539143	1
chr1	95073845	95075083	1
chr1	95168924	95170282	1
chr1	95312715	95315690	1
chr1	96149801	96151909	1
chr1	97605976	97608434	1
chr1	97722348	97724922	1
chr1	97885040	97887154	1
chr1	97948953	97950664	1
chr1	98004852	98007583	1
chr1	98061299	98062099	1
chr1	98564266	98565755	1
chr1	98726705	98728882	1
chr1	98962350	98964842	1
chr1	99423031	99424968	1
chr1	99799417	99801999	1
chr1	99956400	99958253	1
chr1	100764710	100766455	1
chr1	101196044	101197779	1
chr1	101211152	101213265	1
chr1	102177379	102179953	1
chr1	102284419	102286113	1
chr1	102388960	102390913	1
chr1	102422325	102424462	1
chr1	104152319	104153270	1
chr1	104161575	104163369	1
chr1	104207138	104207961	1
chr1	104211226	104212231	1
chr1	104768282	104769666	1
chr1	105191930	105193759	1
chr1	106766738	106768508	1
chr1	107707193	107708344	1
chr1	107918386	107920662	1
chr1	107930647	107932830	1
chr1	108017352	108019174	1
chr1	108072226	108073630	1
chr1	108523974	108526342	1
chr1	108854504	108855768	1
chr1	109392880	109394620	1
chr1	109699811	109701651	1
chr1	109838944	109840751	1
chr1	110303600	110305574	1
chr1	110334044	110336403	1
chr1	110637187	110638611	1
chr1	110731357	110733097	1
chr1	110769144	110771123	1
chr1	111031668	111033880	1
chr1	111116217	111118648	1
chr1	111236084	111237444	1
chr1	111739692	111741821	1
chr1	112019407	112020868	1
chr1	112198670	112201148	1
chr1	112356867	112358113	1
chr1	112486421	112487525	1
chr1	112687752	112689880	1
chr1	112787991	112789343	1
chr1	113651076	113652693	1
chr1	113752296	113754673	1
chr1	113817783	113820001	1
chr1	114073013	114075569	1
chr1	114241354	114242830	1
chr1	114450534	114452713	1
chr1	114650793	114652535	1
chr1	114823516	114825120	1
chr1	114873160	114875397	1
chr1	114911934	114913733	1
chr1	115627694	115629153	1
chr1	116204104	116206146	1
chr1	117029298	117031774	1
chr1	117141895	117143467	1
chr1	117187988	117189865	1
chr1	117297017	117298719	1
chr1	117472312	117474292	1
chr1	117636296	117638883	1
chr1	118838678	118840309	1
chr1	118984362	118986338	1
chr1	119763242	119765097	1
chr1	119794155	119796127	1
chr1	120016098	120017835	1
chr1	120168301	120169827	1
chr1	120346265	120348630	1
chr1	121157784	121159845	1
chr1	121297489	121299789	1
chr1	142536294	142539952	1
chr1	142544595	142545456	1
chr1	142553458	142554366	1
chr1	142709977	142711627	1
chr1	142856382	142857460	1
chr1	142871302	142872241	1
chr1	142942251	142943374	1
chr1	142955116	142956296	1
chr1	142963533	142964580	1
chr1	143180040	143180865	1
chr1	143182473	143183922	1
chr1	143193770	143195279	1
chr1	143282944	143284033	1
chr1	143354375	143355364	1
chr1	143412672	143413495	1
chr1	143421479	143423231	1
chr1	143530764	143531890	1
chr1	144908493	144910395	1
chr1	145176898	145179609	1
chr1	145585673	145586976	1
chr1	146497698	146499479	1
chr1	147380090	147382020	1
chr1	148893808	148894963	1
chr1	149032599	149035146	1
chr1	149091914	149092791	1
chr1	149997811	149999640	1
chr1	150134014	150135749	1
chr1	150159804	150161381	1
chr1	150443854	150446591	1
chr1	150530167	150532097	1
chr1	150998926	151000775	1
chr1	151338951	151340881	1
chr1	151537195	151539621	1
chr1	151848477	151850107	1
chr1	152141541	152143063	1
chr1	153166732	153169052	1
chr1	153328416	153330664	1
chr1	153337869	153339414	1
chr1	153742437	153744683	1
chr1	153749156	153752841	1
chr1	154526754	154528799	1
chr1	154709832	154712146	1
chr1	154769282	154770639	1
chr1	154786271	154788513	1
chr1	154801557	154802770	1
chr1	156205948	156208209	1
chr1	156335316	156336950	1
chr1	156399310	156400923	1
chr1	156496100	156498029	1
chr1	156662157	156664329	1
chr1	157975796	157977386	1
chr1	158019418	158021106	1
chr1	158901792	158904471	1
chr1	159074209	159075894	1
chr1	159130246	159131841	1
chr1	159732844	159734316	1
chr1	159752784	159754366	1
chr1	159797916	159799416	1
chr1	159818766	159820019	1
chr1	159953099	159954545	1
chr1	160158260	160160296	1
chr1	160318074	160320396	1
chr1	160611220	160614153	1
chr1	160649876	160651705	1
chr1	161420474	161421890	1
chr1	161429910	161430924	1
chr1	161437871	161438671	1
chr1	161951438	161953213	1
chr1	161973887	161976600	1
chr1	162129517	162131183	1
chr1	162300398	162301794	1
chr1	162328805	162331027	1
chr1	162346661	162347677	1
chr1	162440314	162441982	1
chr1	163343654	163345656	1
chr1	163505269	163507405	1
chr1	163813827	163816131	1
chr1	164603553	164605778	1
chr1	164650188	164651850	1
chr1	165464247	165466165	1
chr1	167396032	167398131	1
chr1	167462870	167464876	1
chr1	169085775	169087327	1
chr1	169230677	169231517	1
chr1	169578213	169579792	1
chr1	171222875	171224894	1
chr1	171805096	171806734	1
chr1	172463339	172465307	1
chr1	176439734	176441624	1
chr1	176520807	176522069	1
chr1	177155755	177157143	1
chr1	178916262	178917906	1
chr1	179058559	179060033	1
chr1	179074982	179076597	1
chr1	180162013	180163486	1
chr1	180224719	180226417	1
chr1	180885579	180887270	1
chr1	180917609	180919130	1
chr1	181113966	181115460	1
chr1	181445374	181447301	1
chr1	182754773	182756599	1
chr1	183520954	183523034	1
chr1	183762258	183764111	1
chr1	183841276	183843605	1
chr1	183931047	183933087	1
chr1	184332174	184333683	1
chr1	186174662	186176089	1
chr1	186838996	186840436	1
chr1	186968150	186969990	1
chr1	187591254	187592054	1
chr1	188621765	188623977	1
chr1	191434106	191435826	1
chr1	195524842	195525649	1
chr1	195995927	195997910	1
chr1	198539974	198541815	1
chr1	199239448	199241452	1
chr1	199581596	199583413	1
chr1	201107518	201109536	1
chr1	202122562	202124271	1
chr1	202128224	202129980	1
chr1	202545885	202547935	1
chr1	202585743	202587447	1
chr1	202587582	202589491	1
chr1	203050607	203052228	1
chr1	203333865	203335704	1
chr1	203342082	203343752	1
chr1	203490967	203492396	1
chr1	204073654	204075266	1
chr1	204358084	204359991	1
chr1	204632563	204634430	1
chr1	204680175	204682112	1
chr1	204965267	204967215	1
chr1	205419390	205420950	1
chr1	205639203	205640852	1
chr1	206647241	206648701	1
chr1	206793509	206795104	1
chr1	207296774	207298280	1
chr1	208061961	208063534	1
chr1	208856887	208858324	1
chr1	209721861	209724493	1
chr1	209832518	209834101	1
chr1	209836361	209838336	1
chr1	211642539	211644338	1
chr1	211899656	211901318	1
chr1	212344718	212346696	1
chr1	212555790	212557406	1
chr1	213097795	213099563	1
chr1	213451227	213452835	1
chr1	213598589	213599935	1
chr1	213778123	213780113	1
chr1	213932345	213934061	1
chr1	214575868	214577754	1
chr1	214601084	214602225	1
chr1	215131466	215132847	1
chr1	215790402	215791845	1
chr1	215850015	215851642	1
chr1	216632542	216634220	1
chr1	217086216	217087745	1
chr1	217249296	217251478	1
chr1	217355379	217356704	1
chr1	217576614	217579588	1
chr1	219253463	219255164	1
chr1	219619797	219620869	1
chr1	220069346	220071462	1
chr1	220973303	220975269	1
chr1	221857599	221859427	1
chr1	223123844	223125818	1
chr1	223226165	223228141	1
chr1	223652179	223655157	1
chr1	224200279	224201292	1
chr1	224424720	224426915	1
chr1	224910133	224911762	1
chr1	224937737	224939898	1
chr1	225552567	225555000	1
chr1	225610071	225612059	1
chr1	225858427	225859771	1
chr1	226845566	226847224	1
chr1	227087338	227089119	1
chr1	227125590	227126898	1
chr1	227170161	227171773	1
chr1	227959224	227961177	1
chr1	228756684	228757613	1
chr1	228922607	228923893	1
chr1	229075673	229077443	1
chr1	229155204	229157454	1
chr1	229369477	229370925	1
chr1	229561148	229562405	1
chr1	230210613	230212789	1
chr1	230226081	230227999	1
chr1	230307676	230309115	1
chr1	230326621	230328646	1
chr1	230684481	230686194	1
chr1	230814007	230816500	1
chr1	230880255	230882105	1
chr1	231155016	231156735	1
chr1	231167147	231168374	1
chr1	231441382	231443231	1
chr1	231943648	231945540	1
chr1	232089031	232091220	1
chr1	232312090	232313895	1
chr1	232387657	232390612	1
chr1	232549150	232550861	1
chr1	232952373	232955046	1
chr1	233058164	233059943	1
chr1	233195749	233197370	1
chr1	233353426	233355642	1
chr1	233428694	233430358	1
chr1	233760711	233762990	1
chr1	234207822	234209604	1
chr1	234480897	234482687	1
chr1	234598196	234600309	1
chr1	234723921	234725607	1
chr1	234764421	234765747	1
chr1	234839554	234841098	1
chr1	234877678	234880005	1
chr1	234915146	234915960	1
chr1	235092567	235094280	1
chr1	235256272	235257916	1
chr1	235775745	235777649	1
chr1	235820087	235821718	1
chr1	235992097	235995037	1
chr1	236378383	236381315	1
chr1	236540795	236542135	1
chr1	236629788	236631297	1
chr1	236680811	236682921	1
chr1	236685499	236687144	1
chr1	236876842	236877710	1
chr1	237269500	237272783	1
chr1	237773188	237775068	1
chr1	237827086	237828836	1
chr1	238160320	238161916	1
chr1	238445719	238447459	1
chr1	238566577	238568440	1
chr1	238695939	238698440	1
chr1	238921929	238923716	1
chr1	239328322	239330598	1
chr1	239922989	239926581	1
chr1	239963533	239965162	1
chr1	240705635	240708046	1
chr1	240753484	240755358	1
chr1	241260487	241262714	1
chr1	241582344	241584172	1
chr1	241710512	241712593	1
chr1	241741522	241743010	1
chr1	241848752	241850449	1
chr1	241864944	241867565	1
chr1	242008852	242010914	1
chr1	242041492	242043006	1
chr1	242070536	242072631	1
chr1	242088894	242090592	1
chr1	242418508	242420794	1
chr1	242674492	242676292	1
chr1	243501142	243503258	1
chr1	243612182	243613597	1
chr1	243636874	243638602	1
chr1	243657089	243659427	1
chr1	243671359	243673823	1
chr1	243709040	243711310	1
chr1	243854269	243856016	1
chr1	244216651	244221187	1
chr1	244259290	244261291	1
chr1	244318020	244320624	1
chr1	244335965	244337997	1
chr1	244357587	244359701	1
chr1	244379392	244380609	1
chr1	244510919	244513118	1
chr1	244652238	244654403	1
chr1	244821816	244823553	1
chr1	244930028	244932661	1
chr1	244966955	244968990	1
chr1	245098273	245099769	1
chr1	245112869	245114384	1
chr1	245188168	245190580	1
chr1	245253839	245255452	1
chr1	245283344	245285588	1
chr1	245333960	245337262	1
chr1	245720717	245723178	1
chr1	245841060	245842969	1
chr1	245955781	245957510	1
chr1	246066709	246068220	1
chr1	246117019	246120447	1
chr1	246164997	246167493	1
chr1	246356276	246358602	1
chr1	246547114	246548693	1
chr1	246557659	246560028	1
chr1	246605537	246608685	1
chr1	246624224	246626447	1
chr1	246707663	246708766	1
chr1	246745171	246747064	1
chr1	247030647	247034224	1
chr1	247226463	247227769	1
chr1	247343285	247345183	1
chr1	247490098	247492051	1
chr1	247574736	247576576	1
chr1	247598571	247600412	1
chr1	247612728	247616408	1
chr1	247621804	247623906	1
chr1	247725485	247727222	1
chr1	247846072	247848973	1
chr1	248025435	248026932	1
chr1	248058220	248060116	1
chr1	248341484	248343146	1
chr1	249125688	249127987	1
chr1	249207944	249209814	1
chr10	160729	162900	1
chr10	461973	465301	1
chr10	751159	753687	1
chr10	829628	833528	1
chr10	951046	955675	1
chr10	1055379	1057913	1
chr10	1111293	1113034	1
chr10	1136018	1137642	1
chr10	1171121	1174147	1
chr10	1182274	1184873	1
chr10	1280771	1284259	1
chr10	1330710	1333099	1
chr10	1334751	1336634	1
chr10	1504568	1505947	1
chr10	1516136	1518184	1
chr10	1522903	1525156	1
chr10	1647983	1649531	1
chr10	1674572	1675944	1
chr10	1745536	1747844	1
chr10	1764978	1768349	1
chr10	1869931	1871470	1
chr10	2104805	2106446	1
chr10	2212615	2213948	1
chr10	2352465	2354617	1
chr10	2433838	2435545	1
chr10	2637199	2639579	1
chr10	2736948	2738732	1
chr10	2742409	2744576	1
chr10	2829464	2831175	1
chr10	2959104	2960531	1
chr10	3097466	3100115	1
chr10	3145418	3147632	1
chr10	3225089	3228575	1
chr10	3350100	3353356	1
chr10	3389691	3391688	1
chr10	3483580	3485220	1
chr10	3522244	3523991	1
chr10	3559058	3561251	1
chr10	3787904	3790490	1
chr10	3860462	3862232	1
chr10	3867312	3869927	1
chr10	3871439	3874034	1
chr10	3982724	3984667	1
chr10	4233415	4235384	1
chr10	4441486	4443166	1
chr10	4717953	4719930	1
chr10	4807937	4809718	1
chr10	4952854	4955039	1
chr10	5023624	5025463	1
chr10	5358608	5360918	1
chr10	5599388	5601512	1
chr10	5699897	5701879	1
chr10	5814248	5816091	1
chr10	5876300	5877928	1
chr10	5981043	5983567	1
chr10	5986278	5988169	1
chr10	6029154	6030646	1
chr10	6217557	6219129	1
chr10	6220307	6222856	1
chr10	6269660	6272006	1
chr10	6318295	6319431	1
chr10	6647923	6649637	1
chr10	7005453	7007465	1
chr10	7072336	7073788	1
chr10	7172498	7174712	1
chr10	7313559	7315336	1
chr10	7546490	7547975	1
chr10	7623129	7625064	1
chr10	7905174	7907005	1
chr10	8024280	8026326	1
chr10	8366947	8368838	1
chr10	8443988	8445918	1
chr10	8605860	8607585	1
chr10	8924593	8926502	1
chr10	9329369	9330861	1
chr10	9646084	9648485	1
chr10	9825951	9827798	1
chr10	9963678	9965314	1
chr10	10081197	10083163	1
chr10	10248513	10250779	1
chr10	10310379	10311898	1
chr10	10541686	10543607	1
chr10	10629628	10631450	1
chr10	10972609	10974624	1
chr10	11292825	11294857	1
chr10	11347727	11350279	1
chr10	11503883	11505691	1
chr10	12240549	12241729	1
chr10	12343467	12345462	1
chr10	12858114	12859830	1
chr10	13246313	13248164	1
chr10	14004973	14007408	1
chr10	14135690	14137710	1
chr10	14411177	14413740	1
chr10	14830834	14832178	1
chr10	15184931	15186293	1
chr10	15980619	15982514	1
chr10	16550388	16552323	1
chr10	16679689	16681822	1
chr10	16704655	16706000	1
chr10	16715500	16717545	1
chr10	16736588	16737485	1
chr10	17067107	17069144	1
chr10	18298839	18300329	1
chr10	19203514	19205120	1
chr10	19422254	19423962	1
chr10	19716072	19718029	1
chr10	20616809	20618156	1
chr10	25580210	25582130	1
chr10	26156991	26158958	1
chr10	26632649	26634590	1
chr10	29178298	29179888	1
chr10	30164063	30165347	1
chr10	30202639	30204129	1
chr10	30285042	30286631	1
chr10	30654101	30655528	1
chr10	30829059	30830380	1
chr10	34158909	34160574	1
chr10	42354616	42358308	1
chr10	42360435	42362332	1
chr10	42362534	42363466	1
chr10	42363988	42365421	1
chr10	42368282	42369202	1
chr10	42369516	42370866	1
chr10	42373318	42374284	1
chr10	42376710	42377568	1
chr10	42377834	42378880	1
chr10	42379137	42381380	1
chr10	42383508	42397716	1
chr10	42596813	42601164	1
chr10	42613053	42614283	1
chr10	42662220	42665554	1
chr10	42665686	42668227	1
chr10	42791059	42792208	1
chr10	42796330	42797337	1
chr10	42798681	42799604	1
chr10	42800210	42801048	1
chr10	42808417	42809851	1
chr10	42813202	42814278	1
chr10	42815271	42816662	1
chr10	48528677	48530442	1
chr10	49683383	49684989	1
chr10	50381099	50382619	1
chr10	59426491	59428527	1
chr10	60555851	60557406	1
chr10	61316409	61317942	1
chr10	62658690	62660592	1
chr10	65497253	65498575	1
chr10	65793042	65795187	1
chr10	66509488	66510980	1
chr10	70773201	70775362	1
chr10	73283210	73285312	1
chr10	73342104	73344239	1
chr10	77917073	77918857	1
chr10	77997263	77999281	1
chr10	78643638	78645395	1
chr10	78706757	78708937	1
chr10	79467359	79468982	1
chr10	79741908	79743751	1
chr10	81144663	81146147	1
chr10	81186984	81188856	1
chr10	83599160	83600981	1
chr10	83875356	83876824	1
chr10	85064156	85066032	1
chr10	87285336	87287120	1
chr10	92873107	92874556	1
chr10	92905500	92907554	1
chr10	93811633	93813524	1
chr10	94407241	94409627	1
chr10	97740200	97741985	1
chr10	99650600	99652559	1
chr10	100079847	100081622	1
chr10	100241579	100243145	1
chr10	105793218	105795550	1
chr10	105805071	105807151	1
chr10	105925645	105928275	1
chr10	107995445	107997548	1
chr10	108861866	108863768	1
chr10	111910417	111911995	1
chr10	114829754	114831408	1
chr10	114923856	114926994	1
chr10	116039306	116041071	1
chr10	116143206	116145155	1
chr10	119169175	119171023	1
chr10	119491884	119493647	1
chr10	119521869	119524796	1
chr10	120070287	120072637	1
chr10	121153943	121155478	1
chr10	121711865	121714395	1
chr10	121875196	121877517	1
chr10	122121439	122122996	1
chr10	122748935	122750302	1
chr10	123854977	123856576	1
chr10	124528553	124530242	1
chr10	124904040	124905520	1
chr10	124952337	124954807	1
chr10	125274285	125276726	1
chr10	125278999	125280767	1
chr10	125622222	125623654	1
chr10	125796749	125798283	1
chr10	126171647	126173613	1
chr10	126182094	126184043	1
chr10	126234572	126236403	1
chr10	126296662	126297819	1
chr10	126314061	126315677	1
chr10	126738558	126740753	1
chr10	126761047	126762912	1
chr10	127377320	127380479	1
chr10	128143135	128145989	1
chr10	128338713	128340268	1
chr10	128372758	128375213	1
chr10	128443842	128445773	1
chr10	128462369	128464027	1
chr10	128606734	128608740	1
chr10	128794862	128796845	1
chr10	129158848	129161057	1
chr10	129198418	129200187	1
chr10	129336318	129337588	1
chr10	129437693	129439571	1
chr10	129645240	129647843	1
chr10	129767067	129768887	1
chr10	130346912	130348427	1
chr10	130454022	130455940	1
chr10	130479765	130482147	1
chr10	130583236	130585063	1
chr10	130668998	130670861	1
chr10	130764319	130766486	1
chr10	130842312	130845446	1
chr10	131053081	131055358	1
chr10	131076183	131079120	1
chr10	131148293	131149681	1
chr10	131466002	131468272	1
chr10	131504087	131505982	1
chr10	131513401	131515780	1
chr10	131629947	131631878	1
chr10	131634799	131636559	1
chr10	131662687	131664986	1
chr10	131693965	131696093	1
chr10	131718807	131720304	1
chr10	131739920	131742403	1
chr10	131845103	131846477	1
chr10	131926966	131929071	1
chr10	131988829	131990393	1
chr10	132046123	132047689	1
chr10	132133473	132135035	1
chr10	132136315	132137686	1
chr10	132152158	132153875	1
chr10	132252848	132254816	1
chr10	132540012	132542016	1
chr10	132585199	132587789	1
chr10	132598847	132600431	1
chr10	132890645	132892654	1
chr10	132913427	132915393	1
chr10	132956713	132958394	1
chr10	133142825	133145845	1
chr10	133355790	133358855	1
chr10	134037125	134039639	1
chr10	134171347	134173800	1
chr10	134278680	134280145	1
chr10	134304529	134305658	1
chr10	134335183	134337869	1
chr10	134520829	134522975	1
chr10	134542702	134544765	1
chr10	134601273	134604286	1
chr10	134605902	134610372	1
chr10	134617793	134619940	1
chr10	134627504	134629660	1
chr10	134693226	134694920	1
chr10	134717251	134719032	1
chr10	134798465	134800403	1
chr10	134830645	134833035	1
chr10	134873099	134876551	1
chr10	134913921	134915613	1
chr10	134935675	134937884	1
chr10	134982278	134984140	1
chr10	135035171	135036265	1
chr10	135050811	135053124	1
chr10	135103474	135106989	1
chr11	200318	202386	1
chr11	246731	249127	1
chr11	283613	285700	1
chr11	316210	317741	1
chr11	335256	337213	1
chr11	367915	369680	1
chr11	372954	376141	1
chr11	635686	637662	1
chr11	719955	721796	1
chr11	727983	729638	1
chr11	779239	780580	1
chr11	826933	828958	1
chr11	992728	994907	1
chr11	997443	998852	1
chr11	1058744	1060756	1
chr11	1069861	1071816	1
chr11	1089602	1091552	1
chr11	1096623	1098072	1
chr11	1241411	1243649	1
chr11	1314147	1315425	1
chr11	1416307	1418609	1
chr11	1443824	1445578	1
chr11	1470426	1472905	1
chr11	1474670	1476123	1
chr11	1479615	1481593	1
chr11	1488440	1490852	1
chr11	1690422	1692444	1
chr11	1743857	1745483	1
chr11	1864934	1866392	1
chr11	1870369	1872227	1
chr11	1934621	1935873	1
chr11	1974644	1976827	1
chr11	2042023	2044219	1
chr11	2047471	2050768	1
chr11	2425838	2427709	1
chr11	2429649	2432250	1
chr11	2468413	2470170	1
chr11	2583890	2585453	1
chr11	2597989	2599746	1
chr11	2682432	2684443	1
chr11	2686592	2689764	1
chr11	2738098	2740338	1
chr11	2818715	2820841	1
chr11	2858184	2860197	1
chr11	2921631	2923156	1
chr11	3106944	3109058	1
chr11	3663083	3665566	1
chr11	3924584	3927456	1
chr11	4946418	4947869	1
chr11	5213541	5215041	1
chr11	5248112	5250064	1
chr11	5325444	5327073	1
chr11	5718596	5720908	1
chr11	6011689	6013582	1
chr11	6237632	6240205	1
chr11	6291643	6293665	1
chr11	6323723	6325767	1
chr11	6426619	6427998	1
chr11	6466397	6467378	1
chr11	6474383	6476696	1
chr11	6796277	6797799	1
chr11	6917447	6919549	1
chr11	7562019	7564267	1
chr11	7617782	7620169	1
chr11	7636708	7638972	1
chr11	8028840	8031763	1
chr11	8120989	8123346	1
chr11	8330832	8331916	1
chr11	8343251	8344995	1
chr11	8698003	8700368	1
chr11	8738606	8741472	1
chr11	8825001	8826492	1
chr11	9825045	9828346	1
chr11	9903232	9905114	1
chr11	10003890	10005548	1
chr11	10182646	10183764	1
